Prod,Temp,RH
0.2125,25,87
0.1625,25,88
0.1625,25,89
0.15,25,90
0.1625,25,93
0.1625,25,93
0.1125,25,93
0.175,25,92
0.1625,25,92
0.175,27,87
0.275,26,85
0.1625,28,74
0.125,28,67
0.1125,30,63
0.1125,31,58
0.125,31,58
0.1375,31,60
0.1875,31,60
0.175,31,62
0.225,29,68
0.1625,27,77
0.15,26,80
0.2,26,81
0.1625,27,81
0.1375,26,83
0.1375,26,86
0.1375,24,92
0.1,24,91
0.0875,24,92
0.15,24,92
0.2,25,90
0.2875,25,90
0.375,26,88
0.3125,25,86
0.1875,26,82
0.1875,28,74
0.2375,29,67
0.15,30,59
0.1875,31,56
0.15,30,56
0.1375,30,55
0.1625,30,57
0.275,30,66
0.3875,29,63
0.175,28,66
0.175,28,66
0.25,28,69
0.3125,28,72
0.4,27,77
0.3625,27,78
0.4125,26,80
0.3,26,76
0.275,26,75
0.2,26,75
0.275,26,76
0.275,26,77
0.3,27,75
0.3125,28,67
0.3125,29,62
0.2875,31,58
0.2875,31,55
0.3375,32,54
0.2875,33,52
0.2625,33,51
0.375,32,57
0.375,29,72
0.375,28,76
0.375,28,72
0.4375,29,71
0.5125,29,71
0.575,28,73
0.55,28,73
0.5375,28,74
0.475,28,67
0.325,27,67
0.3125,27,69
0.325,27,71
0.275,26,72
0.2625,26,72
0.3,26,72
0.4,27,68
0.3625,29,63
0.275,30,57
0.3125,31,50
0.3375,33,46
0.35,33,45
0.3125,33,47
0.3625,33,45
0.3125,33,42
0.3,33,43
0.325,32,44
0.325,31,49
0.375,30,53
0.375,29,52
0.2875,29,54
0.2625,28,56
0.3,28,59
0.2875,28,58
0.3375,28,61
0.3625,27,65
0.4375,27,67
0.45,27,66
0.3625,27,65
0.35,27,66
0.4,27,64
0.3625,28,61
0.3625,29,53
0.375,31,50
0.3,32,48
0.3125,33,46
0.3375,33,45
0.3875,33,42
0.375,33,42
0.375,32,43
0.3875,31,46
0.4125,31,48
0.425,29,56
0.375,29,54
0.4125,28,53
0.4,28,54
0.4375,28,53
0.3875,28,52
0.375,28,51
0.3875,27,53
0.3625,27,54
0.4,27,54
0.4375,27,54
0.425,27,55
0.475,27,57
0.5,28,58
0.5375,29,52
0.4375,29,49
0.4625,29,50
0.375,29,49
0.3625,28,53
0.4125,28,55
0.275,26,66
0.35,24,74
0.275,24,74
0.275,24,74
0.325,24,75
0.375,24,72
0.2875,23,72
0.2375,22,78
0.2375,22,77
0.225,23,72
0.225,23,69
0.25,23,66
0.3,23,66
0.2625,23,67
0.275,23,67
0.3875,23,67
0.4,23,69
0.3875,23,73
0.3125,23,73
0.3125,23,71
0.3625,23,75
0.275,23,77
0.3125,24,70
0.45,24,70
0.3875,25,67
0.45,25,67
0.5,25,68
0.475,24,69
0.475,25,69
0.475,25,70
0.5,24,72
0.4875,24,74
0.4,24,76
0.425,24,79
0.3875,24,79
0.3875,24,82
0.3375,24,82
0.35,24,81
0.3625,24,79
0.45,24,79
0.4,25,76
0.45,26,72
0.4,27,67
0.5125,27,64
0.5125,28,60
0.4875,30,52
0.4875,31,44
0.5,31,40
0.4625,32,40
0.4125,31,40
0.4625,30,44
0.4875,30,52
0.6875,29,57
0.625,28,59
0.725,28,61
0.6375,27,62
0.625,27,64
0.6125,27,65
0.6875,27,61
0.4875,26,61
0.525,26,59
0.45,26,62
0.5875,25,65
0.6625,25,67
0.725,26,61
0.6625,27,55
0.475,29,49
0.5,30,45
0.4875,31,39
0.475,32,35
0.4125,32,35
0.4125,32,35
0.375,32,36
0.375,32,37
0.4125,31,39
0.3625,30,42
0.5,30,44
0.5625,30,45
0.575,29,50
0.475,28,54
0.5,27,55
0.5125,27,56
0.575,27,57
0.5,26,57
0.5,26,58
0.4625,26,59
0.525,25,62
0.575,25,64
0.6,26,63
0.6,27,54
0.575,29,47
0.575,30,43
0.5625,31,38
0.5875,31,36
0.525,32,34
0.5,32,34
0.475,32,34
0.4375,32,37
0.4875,31,40
0.5625,30,42
0.5875,30,44
0.6375,29,45
0.6125,29,47
0.6125,28,53
0.575,27,60
0.625,27,63
0.725,26,64
0.5875,26,64
0.5875,26,65
0.6125,25,67
0.575,25,69
0.55,25,69
0.625,25,67
0.575,26,62
0.55,28,57
0.4875,29,52
0.5375,30,47
0.5,31,44
0.525,31,42
0.45,32,41
0.4875,32,41
0.4625,31,44
0.4,30,47
0.3375,30,49
0.35,30,50
0.425,30,51
0.6,30,52
0.575,29,55
0.4875,28,59
0.2625,28,62
0.3,27,63
0.325,27,65
0.3125,27,65
0.3375,27,65
0.3375,27,66
0.35,27,66
0.375,27,66
0.3625,28,64
0.3625,29,60
0.325,29,59
0.325,28,62
0.3125,29,61
0.2375,28,64
0.3875,29,60
0.3375,29,60
0.3125,29,62
0.5125,29,66
0.6,29,64
0.4625,28,66
0.45,28,67
0.475,28,68
0.4375,28,68
0.4875,28,69
0.4125,28,71
0.4,27,72
0.4,27,75
0.4125,27,78
0.425,26,80
0.5,27,81
0.65,26,81
0.725,27,79
0.7125,28,75
0.6875,29,69
0.5125,31,61
0.325,31,56
0.2375,32,53
0.25,32,53
0.25,32,53
0.25,32,54
0.2125,32,55
0.2125,31,56
0.25,31,64
0.5125,30,67
0.5625,28,76
0.5375,28,76
0.375,27,77
0.35,26,82
0.25,25,88
0.2125,25,91
0.1625,25,93
0.1375,25,90
0.1875,25,90
0.25,25,90
0.2,25,90
0.3,26,87
0.3125,28,80
0.35,29,72
0.325,30,64
0.3125,31,59
0.2875,32,55
0.3,32,54
0.325,32,55
0.35,32,59
0.4375,31,60
0.4,31,58
0.525,31,56
0.5,31,58
0.525,30,60
0.5625,30,66
0.6,29,69
0.65,29,70
